"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YMR253C",115.170694114517,-0.526936361468574,0.219665128471809,-2.39881662207571,0.0164481495598755,0.034795715427871
"YBR108W",65.9168351254314,-0.683546804199021,0.28504042854969,-2.39806966217728,0.0164817303944627,0.0348480317668277
"YBR192W",51.4170388140354,0.693758461989526,0.289359556568371,2.39756540346232,0.0165044342259225,0.0348843723411544
"YOL028C",8.67710315648182,1.8978454824727,0.791743797863868,2.39704496276839,0.0165278954394973,0.0349222889272907
"YLR453C",24.4678728393687,0.921942493384185,0.384882312140122,2.39538805578714,0.0166027831867542,0.0350581814799439
"YML060W",12.5570840090349,-1.18269810598586,0.493742010023241,-2.39537669871395,0.0166032975225225,0.0350581814799439
"YPL076W",29.022891976452,0.928026329634391,0.387510238271413,2.3948433821364,0.0166274659674235,0.035097494919221
"YNL178W",659.061984953559,-0.500906431401097,0.209239722681843,-2.39393564941178,0.0166686729702057,0.0351727353565501
"YDL093W",42.6672457588736,0.811852301584181,0.339247548371343,2.3930970333661,0.0167068220453996,0.0352414751884947
"YMR287C",94.6289457997838,0.532750588005165,0.22266268561318,2.39263523898514,0.0167278620213675,0.0352740911714332
"YHR036W",50.4827579231971,0.681311217629278,0.284852792360252,2.39180108428647,0.0167659262055771,0.0353425724413566
"YNL314W",37.5326852590349,0.760833919714028,0.318177145370031,2.3912274366193,0.0167921470286972,0.0353860505862983
"YBL027W",626.922993076155,0.36577810936776,0.153000127237235,2.39070460902689,0.0168160762700446,0.0354246723290347
"YGR115C",76.1014866165882,-3.07712581868499,1.28741816492488,-2.39015255689246,0.0168413755716382,0.0354661535514619
"YPL113C",22.3478197069871,0.995388333710318,0.416794067521611,2.38820177942841,0.0169310431174143,0.0356431147385246
"YKR043C",99.6418612799133,0.688783983273978,0.288729344169075,2.38556972882755,0.0170526893037316,0.0358872569573374
"YPR175W",24.5766386363028,-0.900380171206462,0.377627623113233,-2.38430696299058,0.0171113226277882,0.0359986707578618
"YMR106C",33.5726685222939,0.797975715674982,0.334778062422165,2.3835961947492,0.0171444030818393,0.0360562703989198
"YDR139C",61.4792651121654,-0.754870394332467,0.31694595399971,-2.3817006805304,0.0172328982536856,0.0362303352913256
"YJL186W",90.2917181485922,0.596608209028212,0.250520636533634,2.38147330808061,0.0172435403743286,0.0362406611257076
"YNL218W",50.3050836893208,0.723434268803606,0.303883286398739,2.38063197675951,0.0172829688577799,0.0363114601516943
"YCR006C",4.97474742074724,2.18342299858438,0.917627365714398,2.37942227985379,0.0173397991491361,0.0364187611488332
"YOR018W",60.4877190628336,0.600449519520602,0.252397689298841,2.37898184087441,0.0173605311693014,0.0364501989092504
"YER167W",126.446156787902,0.50821229872305,0.213847735279373,2.37651475737686,0.0174770622823668,0.0366783003262996
"YKR074W",49.2773111141536,-0.711267967511777,0.299300223567533,-2.37643647249495,0.0174807712181321,0.0366783003262996
"YDR322W",129.339500919544,-0.491340446192294,0.206835980266649,-2.37550761506227,0.0175248307846009,0.0367585505412325
"YDL222C",31.6444239853892,-0.907478239424872,0.382287000008234,-2.37381401775453,0.0176054157690846,0.0369153346563962
"YNR011C",55.495212815599,0.619850916960142,0.261333639241521,2.37187573233649,0.0176980419680493,0.0370972546920596
"YGL112C",62.1822797257555,0.660557426684559,0.278652814304736,2.37053922578428,0.0177621590601044,0.0372193154062625
"YKL041W",76.8535628228668,-0.666424766203198,0.28118624930396,-2.37004749646487,0.0177858002798119,0.0372565090988839
"YPL145C",178.24784284657,0.464338765059808,0.196031023484421,2.36870040673287,0.0178507065560507,0.0373800888279685
"YIL142W",187.151408658189,-0.47799326860402,0.201911922223136,-2.36733553591641,0.0179166811357599,0.0375058230726731
"YKL161C",19.118767130845,1.13247418354338,0.478458924326925,2.36692038953292,0.0179367906384462,0.0375354943737703
"YOR246C",40.5937104988512,0.760565884071213,0.321560401558748,2.36523489952248,0.0180186382472961,0.0376942997935495
"YKR066C",249.011789892614,0.5694678637623,0.240977758067721,2.36315529005073,0.0181200750176674,0.0378939664059948
"YPR113W",169.089369597705,0.533527006126369,0.225868587331636,2.36211246738355,0.0181711286069451,0.0379881710116762
"YPL254W",37.8592951904646,0.784999509659727,0.332483882499001,2.36101522804518,0.0182249822248053,0.0380881650990313
"YLL033W",18.1206269437519,-0.966798131606522,0.40959225665674,-2.36039162336204,0.0182556516131984,0.0381396566904086
"YHL049C",33.6844568636439,1.21215160240846,0.513804400824243,2.35916936574294,0.0183158943416568,0.0382528784070798
"YLR414C",76.3667243759693,-0.571044612161304,0.24218262921908,-2.35790904575874,0.0183781952670944,0.0383703225054819
"YNL116W",47.9310723345788,0.726544098988399,0.308165328998684,2.35764387041574,0.0183913271755225,0.0383850670158431
"YIL113W",57.5540073609669,0.681063593859865,0.288931268568129,2.35718202891312,0.0184142179174126,0.0384201630187125
"YBR146W",135.333877755766,-0.504032830763148,0.213977580471788,-2.35554037788366,0.0184957867991361,0.0385776239174594
"YER042W",59.4303624481757,0.675476475882353,0.286848747041947,2.35481759236542,0.0185318000605499,0.0386399945871802
"YGR160W",12.2155352553883,1.57004599734199,0.666779665024077,2.35466988526907,0.0185391672099551,0.0386426148436902
"YKL080W",249.134549571148,0.41736542342769,0.177275656852025,2.35433014796878,0.0185561219285426,0.0386652108982219
"YDR303C",55.2287728590748,0.790380015194487,0.335749586870402,2.35407591283075,0.0185688185037005,0.0386789223377476
"YPL107W",72.934325012203,0.557139273236629,0.236762761162614,2.3531541467958,0.0186149155274394,0.0387621751055405
"YGR057C",30.1695944441326,1.02945286877619,0.437592368391956,2.35253844247598,0.0186457623183909,0.038813627683181
"YDR212W",165.344627316681,-0.543487027230099,0.231056301285037,-2.3521843992458,0.0186635201310465,0.0388378089202824
"YBL039C",45.6452521623827,0.938410579174769,0.399050150227191,2.35161064001731,0.0186923296999005,0.0388849648099246
"YLR003C",63.1391511358833,-0.868879236389719,0.369910163363963,-2.34889257566792,0.0188293383412651,0.0391570982144559
"YKL159C",18.9220699510705,-0.966282485111032,0.411536920767122,-2.34798492273753,0.0188752853428698,0.0392397450717648
"YMR165C",66.956499039527,-0.747946791596907,0.318586437127091,-2.3477044356993,0.0188895039128832,0.0392563991932545
"YGL104C",34.3311712910379,0.879735316980855,0.374891503990436,2.3466397814214,0.0189435591163318,0.0393558041562688
"YHR075C",58.4816447661867,0.604377243428878,0.257628627079205,2.34592424871739,0.0189799644903714,0.0394184878282788
"YOR099W",325.897623125735,0.609809317075588,0.260057196178452,2.34490460574348,0.0190319482962173,0.0395134737443461
"YMR044W",140.027601908463,-0.625181743580946,0.266647194300602,-2.34460274453949,0.0190473617552078,0.0395195261613956
"YPR097W",113.48018410558,0.508061637217851,0.216683093420819,2.34472209712803,0.0190412661396156,0.0395195261613956
"YHR132W-A",61.7548300487651,-0.635665315440883,0.27121186332393,-2.34379612915994,0.0190886022319283,0.0395921024974466
"YOL085W-A",4.55769502548145,2.30884615302503,0.985180037384036,2.34357788973856,0.0190997737440851,0.039602284969703
"YLL008W",82.0134813750774,-0.634070488148143,0.270644529958306,-2.34281656549949,0.0191387901206102,0.0396701765725136
"YDR061W",105.189935865982,0.513151350028502,0.219097078509804,2.34211863306767,0.0191746189839497,0.0397314188907268
"YDR035W",250.5235791877,0.397893075335673,0.169925533688717,2.34157319796661,0.0192026600865461,0.0397764894815977
"YIR038C",70.8119733757315,0.672580647357444,0.287467836311398,2.33967269517023,0.0193006461434612,0.0399663674562044
"YDR179C",21.9018321464204,-1.03003523004319,0.440509490242665,-2.33828158724973,0.0193726455407538,0.0401023274630858
"YGL224C",72.008826627289,0.577761624175899,0.247391030812556,2.33541863776646,0.0195215617221839,0.0403973679093884
"YJL008C",135.073697507117,0.666611028658978,0.285539294145084,2.3345684545969,0.019565976096858,0.0404760329854531
"YKR057W",181.520753053577,-0.52682830274601,0.225687494430363,-2.33432651674267,0.0195786312819387,0.0404889680271355
"YDL203C",35.6207700114502,0.79057006996472,0.338806467517514,2.33339722159776,0.0196273069650492,0.0405763613098957
"YNR035C",137.888859739499,-0.526491544773641,0.225774592074522,-2.33193443042458,0.0197041408511008,0.040721891092275
"YNR048W",23.9800206257137,0.916719113966758,0.393732012423811,2.32828188981496,0.0198971403036752,0.0411073228619542
"YNL180C",315.9505901371,-1.39267709849169,0.598597111851607,-2.32656835610816,0.019988250374827,0.0412820690301782
"YGR170W",93.5403678244866,0.522661526257869,0.224662836047304,2.32642628150487,0.0199958209273915,0.0412842218559659
"YLR420W",40.6422898352999,0.726960811641243,0.312511155024646,2.32619156133455,0.0200083336520421,0.0412965737648546
"YML093W",103.046716574967,-1.05049848654903,0.451674688755593,-2.32578559901873,0.0200299912768419,0.0413277862429848
"YDR173C",125.281864515674,-0.631110628033394,0.271613986113161,-2.3235571815159,0.0201492395912585,0.0415602710942984
"YHR182W",39.8203153037253,0.75391308670568,0.324648791063179,2.32224208886385,0.0202199038567482,0.0416898082824574
"YJL134W",83.7798480351746,0.595470961017355,0.256431628314471,2.32214319634202,0.02022522640901,0.0416898082824574
"YOR292C",52.598030120858,0.717805258116577,0.309272784682584,2.32094543609222,0.0202897888954555,0.0418092619663932
"YER060W-A",59.5204859549569,0.74879610936644,0.322683239139922,2.3205299146069,0.0203122285867257,0.0418418416322634
"YPL070W",83.8013669356644,0.743165420704928,0.320273639086792,2.32040770768378,0.020318832329646,0.0418418416322634
"YPR189W",131.326647582838,0.544407186489047,0.234703675745331,2.31955117345398,0.0203651697922152,0.041923611251943
"YDR334W",200.202700462787,-0.43724608050655,0.188546785171304,-2.31903227683936,0.0203932862841432,0.041967830283411
"YOR245C",211.410009415329,0.384093020146638,0.165670255389171,2.31841871218449,0.0204265760627812,0.0420226633119805
"YPR064W",5.24541578045129,-1.96730410926297,0.848711737253757,-2.31798857363365,0.0204499420630111,0.0420570515793437
"YIL047C-A",132.89940239197,-0.708807601164427,0.305942116231862,-2.31680296225463,0.0205144676074274,0.042176038084971
